,id,title,description,year,overview,genres,desc02,img_link
36223,296096,Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.#LiveBoldly",2016,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.","['Drama', 'Romance']",a small town girl is caught between deadend jobs a highprofile successful man becomes wheelchair bound following an accident the man decides his life is not worth living until the girl is hired for six months to be his new caretaker worlds apart and trapped together by circumstance the two get off to a rocky start but the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together each finds their world changing in ways neither of them could begin to imagineliveboldly,https://www.themoviedb.org/movie/296096
36226,372315,SOMM: Into the Bottle,"SOMM: Into the Bottle raises the curtain into the seldom seen world that surrounds the wine we drink. How many people understand how wine is produced? How it is grown? What goes on in the cellar? From those questions to how many hands touch a bottle, to why wine costs what it costs, to how certain wines end up on a wine list, this is a never before seen look into the world of wine.",2016,"SOMM: Into the Bottle raises the curtain into the seldom seen world that surrounds the wine we drink. How many people understand how wine is produced? How it is grown? What goes on in the cellar? From those questions to how many hands touch a bottle, to why wine costs what it costs, to how certain wines end up on a wine list, this is a never before seen look into the world of wine.",['Documentary'],somm into the bottle raises the curtain into the seldom seen world that surrounds the wine we drink how many people understand how wine is produced how it is grown what goes on in the cellar from those questions to how many hands touch a bottle to why wine costs what it costs to how certain wines end up on a wine list this is a never before seen look into the world of wine,https://www.themoviedb.org/movie/372315
36242,316000,Miles Ahead,"An exploration of the life and music of Miles Davis.If you gonna tell a story, come with some attitude.",2016,An exploration of the life and music of Miles Davis.,"['Drama', 'Music']",an exploration of the life and music of miles davisif you gonna tell a story come with some attitude,https://www.themoviedb.org/movie/316000
36251,333371,10 Cloverfield Lane,"After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?Monsters come in many forms.",2016,"After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?","['Thriller', 'Science Fiction', 'Drama']",after a car accident michelle awakens to find herself in a mysterious bunker with two men named howard and emmett howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to get good on those before leaving the bunker she has been given the information that there has been an alien attack and the outside world is poisoned however howard and emmetts intentions soon become questionable and michelle is faced with a question is it better in here or out theremonsters come in many forms,https://www.themoviedb.org/movie/333371
36252,267860,London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.The world's leaders have assembled. So have their enemies.",2016,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.","['Action', 'Crime', 'Thriller']",in london for the prime ministers funeral mike banning discovers a plot to assassinate all the attending world leadersthe worlds leaders have assembled so have their enemies,https://www.themoviedb.org/movie/267860
36253,269149,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.Welcome to the urban jungle.",2016,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.","['Animation', 'Adventure', 'Family', 'Comedy']",determined to prove herself officer judy hopps the first bunny on zootopias police force jumps at the chance to crack her first case  even if it means partnering with scamartist fox nick wilde to solve the mysterywelcome to the urban jungle,https://www.themoviedb.org/movie/269149
36258,267193,Grimsby,"Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.Behind every hero is an embarrassing sibling",2016,"Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.","['Action', 'Comedy']",wrongfully accused and on the run a top  assassin joins forces with his longlost football hooligan brother to save the world from a sinister plotbehind every hero is an embarrassing sibling,https://www.themoviedb.org/movie/267193
37499,301365,The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.Beauty is vicious.",2016,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.","['Thriller', 'Horror']",when aspiring model jesse moves to los angeles her youth and vitality are devoured by a group of beautyobsessed women who will take any means necessary to get what she hasbeauty is vicious,https://www.themoviedb.org/movie/301365
37731,342521,Keanu,"Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.Kitten, please.",2016,Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,"['Action', 'Comedy']",friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gangkitten please,https://www.themoviedb.org/movie/342521
37802,387893,Ice Age: The Great Egg-Scapade,"A harried prehistoric bird mom Ethel entrusts her precious, soon-to-hatch egg to Sid. When she recommends him to her neighbors – a condor mom, Cholly Bear and Gladys Glypto – business booms at his new egg-sitting service.  However, dastardly pirate bunny Squint, who is seeking revenge on the herd, steals, camouflages and hides all the eggs. Once again, with Squint’s twin brother, Clint, assisting, Manny, Diego and the rest of the gang come to the rescue and take off on a daring mission that turns into the world’s first Easter egg hunt.",2016,"A harried prehistoric bird mom Ethel entrusts her precious, soon-to-hatch egg to Sid. When she recommends him to her neighbors – a condor mom, Cholly Bear and Gladys Glypto – business booms at his new egg-sitting service.  However, dastardly pirate bunny Squint, who is seeking revenge on the herd, steals, camouflages and hides all the eggs. Once again, with Squint’s twin brother, Clint, assisting, Manny, Diego and the rest of the gang come to the rescue and take off on a daring mission that turns into the world’s first Easter egg hunt.","['Adventure', 'Animation', 'Comedy', 'Family', 'TV Movie']",a harried prehistoric bird mom ethel entrusts her precious soontohatch egg to sid when she recommends him to her neighbors – a condor mom cholly bear and gladys glypto – business booms at his new eggsitting service  however dastardly pirate bunny squint who is seeking revenge on the herd steals camouflages and hides all the eggs once again with squint’s twin brother clint assisting manny diego and the rest of the gang come to the rescue and take off on a daring mission that turns into the world’s first easter egg hunt,https://www.themoviedb.org/movie/387893
37863,369557,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.Boy meets girl. Girl unimpressed. Boy starts band.,2016,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"['Romance', 'Drama', 'Music']",a boy growing up in dublin during the  escapes his strained family life by starting a band to impress the mysterious girl he likesboy meets girl girl unimpressed boy starts band,https://www.themoviedb.org/movie/369557
37926,290595,The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.The story before Snow White",2016,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.","['Action', 'Adventure', 'Drama']",as two evil sisters prepare to conquer the land two renegades—eric the huntsman who aided snow white in defeating ravenna in snowwhite and the huntsman and his forbidden lover sara—set out to stop themthe story before snow white,https://www.themoviedb.org/movie/290595
37927,325133,Neighbors 2: Sorority Rising,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.New neighbors.,2016,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,['Comedy'],a sorority moves in next door to the home of mac and kelly radner who have a young child the radners enlist their former nemeses from the fraternity to help battle the raucous sistersnew neighbors,https://www.themoviedb.org/movie/325133
37966,376570,Hush,A deaf woman is stalked by a psychotic killer in her secluded home.Silence can be killer,2016,A deaf woman is stalked by a psychotic killer in her secluded home.,"['Horror', 'Thriller']",a deaf woman is stalked by a psychotic killer in her secluded homesilence can be killer,https://www.themoviedb.org/movie/376570
38140,303858,Money Monster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.Not every conspiracy is a theory.,2016,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,['Thriller'],financial tv host lee gates and his producer patty are put in an extreme situation when an irate investor takes over their studionot every conspiracy is a theory,https://www.themoviedb.org/movie/303858
38176,127380,Finding Dory,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?An unforgettable journey she probably won't remember.,2016,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,"['Adventure', 'Animation', 'Comedy', 'Family']",dory is reunited with her friends nemo and marlin in the search for answers about her past what can she remember who are her parents and where did she learn to speak whalean unforgettable journey she probably wont remember,https://www.themoviedb.org/movie/127380
38224,332411,I Am Wrath,A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.I lay my vengeance upon them.,2016,A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.,"['Action', 'Crime', 'Drama', 'Thriller']",a man is out for justice after a group of corrupt police officers are unable to catch his wifes killeri lay my vengeance upon them,https://www.themoviedb.org/movie/332411
38293,353069,Mother's Day,Intersecting stories with different moms collide on Mother's Day.Celebrate the one day that connects us all,2016,Intersecting stories with different moms collide on Mother's Day.,['Comedy'],intersecting stories with different moms collide on mothers daycelebrate the one day that connects us all,https://www.themoviedb.org/movie/353069
38501,290250,The Nice Guys,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.Private dicks,2016,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,"['Action', 'Comedy', 'Crime', 'Thriller']",a private eye investigates the apparent suicide of a fading porn star in  los angeles and uncovers a conspiracyprivate dicks,https://www.themoviedb.org/movie/290250
38607,332567,The Shallows,"An injured surfer stranded on a buoy needs to get back to shore, but the great white shark stalking her might have other ideas.What was once in the deep is now in the shallows.",2016,"An injured surfer stranded on a buoy needs to get back to shore, but the great white shark stalking her might have other ideas.","['Horror', 'Drama', 'Thriller']",an injured surfer stranded on a buoy needs to get back to shore but the great white shark stalking her might have other ideaswhat was once in the deep is now in the shallows,https://www.themoviedb.org/movie/332567
38718,290098,The Handmaiden,"1930s Korea, in the period of Japanese occupation, a new girl (Sookee) is hired as a handmaiden to a Japanese heiress (Hideko) who lives a secluded life on a large countryside estate with her domineering Uncle (Kouzuki). But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.Never did they expect to get into a controversial relationship...",2016,"1930s Korea, in the period of Japanese occupation, a new girl (Sookee) is hired as a handmaiden to a Japanese heiress (Hideko) who lives a secluded life on a large countryside estate with her domineering Uncle (Kouzuki). But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.","['Thriller', 'Drama', 'Romance']", korea in the period of japanese occupation a new girl sookee is hired as a handmaiden to a japanese heiress hideko who lives a secluded life on a large countryside estate with her domineering uncle kouzuki but the maid has a secret she is a pickpocket recruited by a swindler posing as a japanese count to help him seduce the lady to elope with him rob her of her fortune and lock her up in a madhouse the plan seems to proceed according to plan until sookee and hideko discover some unexpected emotionsnever did they expect to get into a controversial relationship,https://www.themoviedb.org/movie/290098
